T,E,M,C
2.52,-1740.1459320649876,0.10260317401491817,1245.1635458707178
2.54,-1724.4100435519285,-0.0987422522414107,1180.2041418760489
2.56,-1675.835384619869,-0.01683373856600518,1095.657315153602
2.58,-1656.8437289844976,-0.01639326404611116,939.0866809274877
2.6,-1647.3677670756747,0.10317702241223302,1075.2633976861669
2.62,-1634.1885462467014,-0.06058447872809547,1044.6707383766095
2.64,-1600.2104983508232,0.01806440118076153,1153.7532889844567
2.66,-1585.0955781405046,-0.03801913574052228,963.6523101107607
2.68,-1564.835720659704,-0.02628679625784041,1007.8797373831545
2.7,-1544.5233626802572,0.023262556417840346,844.7027851872155
2.72,-1507.5367030869443,0.006130287370273842,894.7966592258845
2.74,-1505.3341172874798,-0.053977933488264206,881.1033128180098
2.76,-1485.831176418415,0.0035662664725103184,792.9100111819916
2.78,-1469.4491769938884,-0.0005485897153488609,879.1975946616607
2.8,-1448.589539625426,-0.006579671422164719,829.7701948713775
2.82,-1430.7035658115487,0.027445399252384237,823.3161978573032
2.84,-1412.918074154456,-0.004339891488698111,779.1691904248809
2.86,-1408.5242054864852,0.00567047702665958,819.7230704511788
2.88,-1391.9260112737825,0.01432809730247874,722.6000393440285
2.9,-1373.1925957973783,-0.0032270973445357723,705.3612056127655
2.92,-1365.0199204580802,0.005237786180393009,627.934207415999
2.94,-1340.5912885316309,-0.00940841165587689,648.5764671138423
2.96,-1330.635946435167,0.021938653679511273,631.9450719763053
2.98,-1310.965023957933,-0.006992942122447585,665.1166190078983
3.0,-1304.836303628439,0.006888718763806468,656.9139416081468
3.02,-1301.7444723112753,0.006754454297541414,639.1278513848434
3.04,-1280.902322339237,-0.00593221593495068,617.9490937762577
3.06,-1265.9206104848593,-0.0015371527015812182,564.7454042302514
3.08,-1255.644199190423,-0.007509140116951858,596.7800773028017
3.1,-1240.8216761100662,-0.006674908734162507,586.1321619337978
3.12,-1232.0037126780294,-0.002164160039908375,574.4503547841966
3.14,-1226.3942825757724,-0.008843159444863857,546.5253703169091
3.16,-1213.4958711239346,-0.01938675957245073,555.75841440399
3.18,-1206.248030710793,-0.015792471562576904,576.0067966058521
3.2,-1191.4138615807365,0.01068363286128134,500.2995229812313
3.22,-1188.5752185820452,5.406046052031477e-5,488.43156140281695
3.24,-1170.5867905114344,-0.0089661642864192,469.96213414241953
3.26,-1164.7988054137809,0.013056171431950269,510.34862882966087
3.28,-1149.6973417874904,0.008601769788977809,478.35869282395123
3.3,-1146.6145881263426,0.02375993389134545,502.49880633130505
3.32,-1128.643340977164,-0.003095545244411723,436.71480979863315
3.34,-1119.5721875610295,0.000602834435630051,439.3870818057589
3.36,-1115.707383007544,-0.0037228383415205744,457.93582994365295
3.38,-1102.751147719697,0.002898460171367824,448.0929744264498
3.4,-1095.0848873267178,0.0036755194980139503,449.8092629653112
3.42,-1085.3741988864465,0.0034300329252413375,405.0919085384746
3.44,-1083.0209456502412,0.004914387397715011,425.2105017053423
3.46,-1068.3997916303178,0.003261228081937088,394.5561087184483
3.48,-1062.894196587884,-0.005842782284912646,432.7889327164256
3.5,-1057.8605963520315,-0.0011139449869061052,399.39973605199884
